,Intensidad,Magnitud,GAP
969,2.2,4.5,166.0
970,2.2,5.0,123.0
971,2.2,5.0,117.2
972,2.2,6.0,52.0
973,2.2,4.8,105.0
974,2.2,4.8,115.8
975,2.2,4.6,136.0
976,2.2,4.6,126.0
977,2.2,4.6,81.0
978,2.2,4.6,144.0
979,2.2,4.6,108.5
980,2.2,5.1,111.0
981,2.2,5.1,50.3
982,2.2,6.1,19.0
983,2.2,4.4,134.0
984,2.2,4.4,148.0
985,2.2,4.4,93.0
986,2.2,4.4,108.0
987,2.2,4.9,29.6
988,2.2,4.2,119.0
989,2.2,4.2,135.0
990,2.2,4.7,120.0
991,2.2,4.7,121.0
992,2.2,4.7,116.0
